Item,Category,Sell Price (EUR),Ingredient Cost (EUR),Packaging Cost (EUR),Total COGS (EUR),Margin %,Margin (EUR),Confidence
Avocado Toast,food,6.50,1.72,0.03,1.74,73.2,4.76,0.95
Berry Smoothie,cold_drinks,5.50,1.99,0.14,2.13,61.2,3.37,0.86
Blueberry Muffin,food,3.50,1.07,0.10,1.17,66.6,2.33,0.95
Butter Croissant,food,3.00,1.12,0.10,1.21,59.6,1.79,0.95
Cappuccino,hot_drinks,3.80,0.56,0.10,0.67,82.5,3.13,0.93
Espresso,hot_drinks,2.50,0.35,0.05,0.41,83.6,2.09,0.90
Fresh Lemonade,cold_drinks,3.50,0.88,0.14,1.03,70.7,2.47,0.92
Honey Latte,hot_drinks,4.50,0.78,0.12,0.90,80.1,3.60,0.93
Hot Chocolate,hot_drinks,4.00,0.66,0.10,0.77,80.9,3.23,0.93
Latte,hot_drinks,4.20,0.63,0.12,0.75,82.1,3.45,0.93
Morning Deal (Cappuccino + Croissant),combo,5.50,1.68,0.20,1.88,65.9,3.62,0.94
Oat Milk Latte,hot_drinks,4.80,0.92,0.12,1.04,78.4,3.76,0.94
